"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 03:50:38 UTC 2024","Fri Apr 05 03:51:01 UTC 2024","22840","","Login","","","","User successfully sign in using 2FA [MOBILE2-283] | PROD_NGT",""
"passed","Fri Apr 05 04:46:08 UTC 2024","Fri Apr 05 04:46:13 UTC 2024","4418","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-637] | PROD_NGT",""
"passed","Fri Apr 05 04:47:07 UTC 2024","Fri Apr 05 04:47:12 UTC 2024","4654","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"passed","Fri Apr 05 03:49:41 UTC 2024","Fri Apr 05 03:50:00 UTC 2024","18653","","Forgot Password","","","","User should be able to see the suspend page if they submit a forgot password to an e-mail that is being suspended [MOBILE2-1652] | PROD_NGT",""
"broken","Fri Apr 05 04:39:35 UTC 2024","Fri Apr 05 04:40:14 UTC 2024","39686","","Wallet Transaction Detail / History","","","","User should be able see the status deposit via e-wallet is expired [MOBILE2-186] | PROD_NGT",""
"passed","Fri Apr 05 04:27:57 UTC 2024","Fri Apr 05 04:28:02 UTC 2024","5015","","Wallet My Assets","","","","User successfully redirected to receive coin page when click receive [MOBILE2-1110] | PROD_NGT",""
"passed","Fri Apr 05 04:27:03 UTC 2024","Fri Apr 05 04:27:42 UTC 2024","39067","","Wallet My Assets","","","","User should be able to see total coin asset [MOBILE2-1103] | PROD_NGT",""
"passed","Fri Apr 05 03:59:42 UTC 2024","Fri Apr 05 04:00:01 UTC 2024","19557","","Profile - Phone Number","","","","User successfully add phone number use a number with another country code [MOBILE2-128] | PROD_NGT",""
"passed","Fri Apr 05 04:12:40 UTC 2024","Fri Apr 05 04:13:39 UTC 2024","59367","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"passed","Fri Apr 05 04:01:29 UTC 2024","Fri Apr 05 04:02:16 UTC 2024","47403","","Profile - PIN","","","","User can setup PIN for security at reku account [MOBILE2-1211] | PROD_NGT",""
"passed","Fri Apr 05 04:34:50 UTC 2024","Fri Apr 05 04:35:09 UTC 2024","18345","","Wallet - Staking","","","","User should be able to see the rewards distribution when have a staked coin and past the reward payout period [MOBILE2-1510] | PROD_ISS",""
"passed","Fri Apr 05 04:50:24 UTC 2024","Fri Apr 05 04:50:33 UTC 2024","8393","","Wallet Withdraw IDR","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount above available balance [MOBILE2-2205] | PROD_NGT",""
"broken","Fri Apr 05 04:42:46 UTC 2024","Fri Apr 05 04:43:24 UTC 2024","38180","","Wallet Transaction Detail / History","","","","User should be able see the status withdraw via Bank Transfer is failed [MOBILE2-255] | PROD_NGT",""
"passed","Fri Apr 05 04:08:03 UTC 2024","Fri Apr 05 04:08:26 UTC 2024","23419","","Sign Up","","","","User can click sign up [MOBILE2-1379] | PROD_NGT",""
"passed","Fri Apr 05 04:33:59 UTC 2024","Fri Apr 05 04:34:24 UTC 2024","24411","","Wallet - Staking","","","","User successfully redirected to coin stake form when click stake button on coin [MOBILE2-1481 MOBILE2-1486 MOBILE2-1495] | PROD_ISS",""
"passed","Fri Apr 05 04:50:16 UTC 2024","Fri Apr 05 04:50:24 UTC 2024","8793","","Wallet Withdraw IDR","","","","User unsuccessfully withdraw Bank transfer/Ewallet/Internal Transfer when input amount above the maximum withdraw [MOBILE2-2204] | PROD_NGT",""
"passed","Fri Apr 05 04:50:02 UTC 2024","Fri Apr 05 04:50:10 UTC 2024","8121","","Wallet Withdraw IDR","","","","User can add withdraw method E-Wallet on Withdraw Method page [MOBILE2-2103] | PROD_NGT",""
"passed","Fri Apr 05 04:45:23 UTC 2024","Fri Apr 05 04:45:56 UTC 2024","33715","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Fri Apr 05 03:47:24 UTC 2024","Fri Apr 05 03:47:55 UTC 2024","31402","","Home","","","","User should see section favorite, market, and learning hub [MOBILE2-334 MOBILE2-343 MOBILE2-344] | PROD_NGT",""
"passed","Fri Apr 05 03:54:08 UTC 2024","Fri Apr 05 03:55:01 UTC 2024","52446","","Profile - Change Password","","","","User cant change password if it doesnt meet all validation password [MOBILE2-1198] | PROD_NGT",""
"broken","Fri Apr 05 03:52:21 UTC 2024","Fri Apr 05 03:53:26 UTC 2024","64966","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"passed","Fri Apr 05 04:30:57 UTC 2024","Fri Apr 05 04:31:46 UTC 2024","48670","","Wallet Send Coin","","","","User unsuccessfully send coin when input amount coin is under minimum [MOBILE2-2277] | PROD_NGT",""
"passed","Fri Apr 05 04:20:01 UTC 2024","Fri Apr 05 04:20:52 UTC 2024","50682","","Wallet Deposit IDR","","","","(VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1777] | PROD_NGT",""
